行業別,經常性薪資,專業人員-經常性薪資,技術員及助理專業人員-經常性薪資,事務支援人員-經常性薪資,服務及銷售工作人員-經常性薪資,技藝_機械設備操作及組裝人員-經常性薪資,基層技術工及勞力工-經常性薪資
建築_工程服務及技術檢測_分析服務業,29156,35056,28615,26153,26400,26200,22274
廣告業及市場研究業,27052,32381,26881,25627,26736,24336,21009
專門設計服務業,29129,34061,27115,26500,0,0,0
其他專業_科學及技術服務業,28978,36217,29752,26104,25068,0,0
支援服務業,25199,31575,28300,25107,24883,25289,22013
租賃業,25172,32867,26167,24514,24250,25650,21505
人力仲介業,25252,29588,26167,23887,23185,0,21009
人力供應業,25443,31857,28412,24973,24669,25338,22606
旅行及相關代訂服務業,26807,32438,29727,24640,25908,0,0
保全及私家偵探服務業,25390,30171,28010,25507,24990,25680,21133
建築物及綠化服務業,24204,32689,30683,25172,24836,25402,21895
業務及辦公室支援服務業,26196,33667,29714,26228,25375,23807,21682
教育服務業,25383,28189,27778,24326,24803,24005,22148
醫療保健服務業,27733,36057,30339,25488,24624,27314,22167
藝術_娛樂及休閒服務業,25136,30596,27288,24602,24062,26269,22621
創作及藝術表演業,28927,30647,30300,27847,26000,0,0
運動_娛樂及休閒服務業,24943,30582,27136,24401,23996,26269,22621
其他服務業,23848,32250,27270,24338,22272,24938,22708
個人及家庭用品維修業,25049,35000,27257,24652,22905,25115,22011
美髮及美容美體業,21918,0,0,23050,21782,0,0
其他個人服務業,24081,29500,27310,24238,23323,24682,22941
